"kernel","clonality","pollen_vector","self_failoutcross","seedmass","compartsize","self_proba","span_min","span_max","firstflower_min","firstflower_max","bankduration_max","bankduration_min","seednumber_min","seednumber_max","b0grow","b0germ","b0mort","floron","floroff","seedon","seedoff","temp_opt","temp_tol","abund","sp_id"
"long-short",TRUE,"wind-insects",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.316104238095,7.11071201213118,70.5,1860,8058178821.30045,141363714.221475,1113239249.49412,18,40,39,43,279.599593495935,9.23333333333333,83,"p-1"
"long-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,141.866832594222,7.11071201213118,30,30,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,281.844647201946,6.63333333333334,75,"p-2"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,52,1560,26,26,3.8755406702403,3.8755406702403,500,500,8058178821.30045,141363714.221475,1113239249.49412,27,40,39,43,281.539737470167,8.16666666666667,47,"p-3"
"short",FALSE,"insects",FALSE,0.001,50,0,52,104,18.772773321718,18.772773321718,149.45825105533,3.8755406702403,50,75,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,288.824134419552,6.78333333333334,23,"p-4"
"long-medium-short",TRUE,"wind",TRUE,0.0003,20,0,1560,1560,18.772773321718,105.595880214125,107.913880551465,7.11071201213118,141.25,10000,5963719581.16838,141363714.221475,1113239249.49412,23,44,43,47,283.990816326531,9.58333333333334,73,"p-5"
"long",TRUE,"insects",TRUE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,3.8755406702403,3.8755406702403,27,475,8058178821.30045,141363714.221475,1113239249.49412,18,26,25,29,278.412626262626,7.93333333333334,46,"p-6"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0.05,1560,1560,105.595880214125,105.595880214125,144.127993602702,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,14,22,21,25,282.556753812636,7.73333333333333,85,"p-7"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,156.145247167196,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,31,30,34,281.175255102041,7.53333333333333,39,"p-8"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,105.595880214125,155.593849349039,7.11071201213118,132.5,132.5,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,284.000104384134,8.93333333333334,66,"p-9"
"long-medium-short",TRUE,"insects",FALSE,0.001,50,0,1560,1560,105.595880214125,105.595880214125,149.45825105533,3.8755406702403,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,27,44,43,47,283.533196721311,9.6,55,"p-10"
"short",TRUE,"insects",FALSE,0.0001,10,0,1560,1560,310.486898798496,310.486898798496,3.8755406702403,3.8755406702403,6514.31443389408,21841.4837061996,4531446956.9909,141363714.221475,1113239249.49412,18,31,30,34,280.113991769547,7.01666666666667,75,"p-11"
"short-long",TRUE,"insects",FALSE,0.001,50,0,1560,1560,18.772773321718,18.772773321718,3.8755406702403,3.8755406702403,75,75,8058178821.30045,141363714.221475,1113239249.49412,23,31,30,34,281.194397463002,8.71666666666667,30,"p-12"
"long-medium-short",TRUE,"wind",FALSE,0.001,50,0,52,1560,18.772773321718,18.772773321718,191.231705695012,7.11071201213118,210.038867871595,1708.09845556914,8058178821.30045,141363714.221475,1113239249.49412,18,44,43,47,286.142292089249,9.4,31,"p-13"
"long-medium-short",FALSE,"insects",FALSE,0.001,50,0,1560,1560,76.9665114322422,105.261697972652,130.74367648783,7.11071201213118,1472.46053144959,5739.77845359207,8058178821.30045,141363714.221475,1113239249.49412,23,40,39,43,278.860794297352,11.0666666666667,28,"p-14"
