week,meantemp_ts,sdtemp_ts,meanprec_ts,sdprec_ts
1,0.3,0.1,0,0.1
2,0.3,0.1,0,0.1
3,0.3,0.1,0,0.1
4,0.3,0.1,0,0.1
5,1,0.1,0,0.1
6,1,0.1,0,0.1
7,1,0.1,0,0.1
8,1,0.1,0,0.1
9,4.1,0.1,0,0.1
10,4.1,0.1,0,0.1
11,4.1,0.1,0,0.1
12,4.1,0.1,0,0.1
13,8,0.1,0,0.1
14,8,0.1,0,0.1
15,8,0.1,0,0.1
16,8,0.1,0,0.1
17,12.6,0.1,0,0.1
18,12.6,0.1,0,0.1
19,12.6,0.1,0,0.1
20,12.6,0.1,0,0.1
21,15.7,0.1,0,0.1
22,15.7,0.1,0,0.1
23,15.7,0.1,0,0.1
24,15.7,0.1,0,0.1
25,17.1,0.1,0,0.1
26,17.1,0.1,0,0.1
27,17.1,0.1,0,0.1
28,17.1,0.1,0,0.1
29,16.7,0.1,0,0.1
30,16.7,0.1,0,0.1
31,16.7,0.1,0,0.1
32,16.7,0.1,0,0.1
33,13.5,0.1,0,0.1
34,13.5,0.1,0,0.1
35,13.5,0.1,0,0.1
36,13.5,0.1,0,0.1
37,11.5,0.1,0,0.1
38,9.5,0.1,0,0.1
39,9.5,0.1,0,0.1
40,9.5,0.1,0,0.1
41,9.5,0.1,0,0.1
42,7.1,0.1,0,0.1
43,4.7,0.1,0,0.1
44,4.7,0.1,0,0.1
45,4.7,0.1,0,0.1
46,4.7,0.1,0,0.1
47,3.15,0.1,0,0.1
48,1.6,0.1,0,0.1
49,1.6,0.1,0,0.1
50,1.6,0.1,0,0.1
51,1.6,0.1,0,0.1
52,0.95,0.1,0,0.1
53,0.3,0.1,0,0.1
54,0.3,0.1,0,0.1
55,0.3,0.1,0,0.1
56,0.3,0.1,0,0.1
57,1,0.1,0,0.1
58,1,0.1,0,0.1
59,1,0.1,0,0.1
60,1,0.1,0,0.1
61,4.1,0.1,0,0.1
62,4.1,0.1,0,0.1
63,4.1,0.1,0,0.1
64,4.1,0.1,0,0.1
65,8,0.1,0,0.1
66,8,0.1,0,0.1
67,8,0.1,0,0.1
68,8,0.1,0,0.1
69,12.6,0.1,0,0.1
70,12.6,0.1,0,0.1
71,12.6,0.1,0,0.1
